"","OOB_Feature","OOB_Importance","CV_Feature","CV_Importance","similar_rank"
"feat13","feat13",37.914233082854,"feat13",38.0167648793639,"yes"
"feat63","feat63",7.01325680988766,"feat14",7.39841952833773,"no"
"feat14","feat14",6.99516592965375,"feat63",7.01085296861622,"no"
"feat65","feat65",6.20793188014857,"feat65",6.17267063597654,"yes"
"feat71","feat71",5.75417050578538,"feat71",5.22864682428815,"yes"
"feat66","feat66",4.64420853082006,"feat66",4.89340847375456,"yes"
"feat1","feat1",2.96487748518854,"feat1",2.38921139180836,"yes"
"feat19","feat19",1.88253961081242,"feat20",2.16342448449837,"no"
"feat20","feat20",1.86636873807167,"feat15",1.72948700918913,"no"
"feat15","feat15",1.84604799799463,"feat5",1.69377031462493,"no"
"feat8","feat8",1.50686808192388,"feat70",1.68970753983745,"no"
"feat5","feat5",1.32797956438809,"feat4",1.62078910957788,"no"
"feat4","feat4",1.20643960004461,"feat8",1.2999885672666,"no"
"feat11","feat11",1.1961936532778,"feat19",1.19437053038418,"no"
"feat9","feat9",1.15611077666833,"feat11",1.05518991916763,"no"
"feat70","feat70",1.06932173509461,"feat64",0.987838236033476,"no"
"feat10","feat10",0.98610772433269,"feat10",0.884421623926768,"yes"
"feat23","feat23",0.963506949625826,"feat9",0.873175785040244,"no"
"feat24","feat24",0.807216285283288,"feat23",0.817459649918524,"no"
"feat18","feat18",0.805808972524435,"feat24",0.806821036902337,"no"
"feat64","feat64",0.780369050333827,"feat18",0.802647382096773,"no"
"feat27","feat27",0.704789440948342,"feat16",0.628212453606331,"no"
"feat68","feat68",0.627157406377555,"feat25",0.610195912940334,"no"
"feat25","feat25",0.573262562302443,"feat27",0.543823637327539,"no"
"feat67","feat67",0.54795701967005,"feat6",0.515845392562937,"no"
"feat31","feat31",0.546030901664068,"feat34",0.500414084581871,"no"
"feat34","feat34",0.50375558822079,"feat31",0.444370363449239,"no"
"feat75","feat75",0.464167516439989,"feat68",0.441877379642344,"no"
"feat16","feat16",0.3877205006333,"feat75",0.435897199467423,"no"
"feat2","feat2",0.373776264941843,"feat44",0.426002776047236,"no"
"feat6","feat6",0.361277657252535,"feat67",0.395071053393478,"no"
"feat28","feat28",0.337893786869376,"feat33",0.385011334247619,"no"
"feat74","feat74",0.33199691169245,"feat53",0.358460752550301,"no"
"feat53","feat53",0.322521239186908,"feat26",0.354717657565927,"no"
"feat33","feat33",0.318765558399445,"feat74",0.324720104371753,"no"
"feat44","feat44",0.310871226697166,"feat77",0.30854293976253,"no"
"feat22","feat22",0.310158082171177,"feat2",0.304040752369773,"no"
"feat12","feat12",0.306126069081215,"feat28",0.302167712192458,"no"
"feat26","feat26",0.305410423081641,"feat54",0.28960005518476,"no"
"feat3","feat3",0.270936441659533,"feat78",0.247576547781289,"no"
"feat77","feat77",0.244726878505598,"feat22",0.237553394106845,"no"
"feat72","feat72",0.225200030735648,"feat12",0.223593593153082,"no"
"feat59","feat59",0.213566096559197,"feat7",0.219948474052524,"no"
"feat62","feat62",0.209747883356529,"feat21",0.214651477304262,"no"
"feat7","feat7",0.198207712136817,"feat62",0.209011803387397,"no"
"feat21","feat21",0.197570394254423,"feat37",0.19244070496446,"no"
"feat73","feat73",0.188968764905611,"feat73",0.192101077423058,"yes"
"feat60","feat60",0.180374934964804,"feat59",0.191623621180469,"no"
"feat78","feat78",0.178931396465415,"feat32",0.181997436443478,"no"
"feat54","feat54",0.164157006317788,"feat42",0.176112445594308,"no"
"feat37","feat37",0.136385727881453,"feat58",0.15630589523742,"no"
"feat39","feat39",0.134257355913998,"feat61",0.134975492884061,"no"
"feat42","feat42",0.114233376656769,"feat72",0.133319187847836,"no"
"feat61","feat61",0.110964426857069,"feat3",0.126017075961833,"no"
"feat58","feat58",0.109701886733416,"feat46",0.117383951489662,"no"
"feat46","feat46",0.108204365245079,"feat40",0.112313676145217,"no"
"feat45","feat45",0.105622865122173,"feat39",0.0954840521552734,"no"
"feat32","feat32",0.102532198028232,"feat45",0.0824546515699917,"no"
"feat40","feat40",0.0793393054636116,"feat60",0.0816603129693267,"no"
"feat57","feat57",0.0715298306422989,"feat57",0.0778564710671152,"yes"
"feat56","feat56",0.0480540242360556,"feat38",0.0733225676169611,"no"
"feat17","feat17",0.025930774315985,"feat56",0.0658948254680046,"no"
"feat38","feat38",0.0219485830562043,"feat17",0.0650350165144453,"no"
"feat36","feat36",0.0170698715670414,"feat41",0.0397715363516731,"no"
"feat41","feat41",0.0134767480748919,"feat30",0.0361846662121101,"no"
"feat30","feat30",0,"feat36",0.0173725932442663,"no"
"feat35","feat35",0,"feat35",0,"yes"
"feat43","feat43",0,"feat43",0,"yes"
"feat52","feat52",0,"feat52",0,"yes"
"feat69","feat69",0,"feat69",0,"yes"
"feat76","feat76",0,"feat76",0,"yes"
